tool,lexicon,items,operation,seconds,sample_size,run
fastlex,pfbl_basque_with_pron,221867,identicals_ph,0.009318,,
fastlex,pfbl_basque_with_pron,221867,cohorts_ph,4.177711,,
fastlex,pfbl_basque_with_pron,221867,dels_ph,6.357360,,
fastlex,pfbl_basque_with_pron,221867,adds_ph,6.357360,,
fastlex,pfbl_basque_with_pron,221867,subs_ph,16.849588,,
fastlex,pfbl_basque_with_pron,221867,nohorts_ph,0.180642,,
fastlex,pfbl_basque_with_pron,221867,dims_ph,28.986644,,
fastlex,pfbl_basque_with_pron,221867,identicals_or,0.008894,,
fastlex,pfbl_basque_with_pron,221867,cohorts_or,3.951262,,
fastlex,pfbl_basque_with_pron,221867,dels_or,0.662307,,
fastlex,pfbl_basque_with_pron,221867,adds_or,0.662307,,
fastlex,pfbl_basque_with_pron,221867,subs_or,22.008259,,
fastlex,pfbl_basque_with_pron,221867,nohorts_or,0.171057,,
fastlex,pfbl_basque_with_pron,221867,dims_or,28.116508,,
fastlex,pfbl_basque_with_pron,221867,oldk_or,19149.733202,,
fastlex,pfbl_basque_with_pron,221867,old_count_or,24755.081273,,
fastlex,pfbl_basque_with_pron,221867,old_parts_or,94.132111,,
fastlex,pfbl_basque_with_pron,221867,pldk_ph,19021.636124,,
fastlex,pfbl_basque_with_pron,221867,pld_count_ph,28356.137845,,
fastlex,pfbl_basque_with_pron,221867,pld_parts_ph,134.359649,,
fastlex,pfbl_basque_with_pron,221867,ups_or,0.382351,,
fastlex,pfbl_basque_with_pron,221867,ups_ph,0.470520,,
fastlex,pfbl_basque_with_pron,221867,all,5850.621392,,
